,ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
bubbleSort,1,4213.69,8.427379999999994,4213.69,8.427379999999994,0
insertionSort,1,1934.63,3.8692599999999993,1934.63,3.8692599999999993,0
mergeSort,1,0.0,0.0,72.71,0.0,0
quickSort,1,0.0,0.0,17.77,0.0,0
radixSort,1,7.23,0.014459999999999952,54.61,0.014459999999999952,0
shellSort,1,1.02,0.0020400000000000014,21.97,0.0020400000000000014,0
